hops_id,osm_id,meters,sim,hops_name,osm_name,hops_addr,osm_addr
tk_fr_0350,tk_fr_osm_n9241186347,8.7,0.55,"Kiosk Akrami Farid","Herai Kiosk","Königsteiner Straße 1",""
tk_fr_0193,tk_fr_osm_n4486652037,1.2,0.54,"Euro Kiosk","7 Tage Kiosk","Schwarzwaldstraße 37",""
tk_fr_1872,tk_fr_osm_n10725443254,2.5,0.54,"Kiosk Gerau","Mrozek Kiosk","Goldsteinstraße 43",""
tk_fr_0107,tk_fr_osm_n7315796481,10.4,0.53,"Trinkhalle Blauländchenstraße","Trinkhalle an der Käthe","Alt-Zeilsheim 3",""
tk_fr_0813,tk_fr_osm_w1304042532,13.8,0.53,"Kiosk am Schloss ","Kulturkiosk ""Am Kumpen""","Am Kumpen","Am Kumpen"
tk_fr_0277,tk_fr_osm_n1684467908,13.5,0.52,"Radilo Kiosk","Doki's Kiosk","Radilostraße 11",""
tk_fr_1777,tk_fr_osm_n1270146975,14.3,0.52,"Yilmaz-Shopping Point","Yilmaz Kiosk - Hermes Paket Shop","Bischof-Ketteler-Straße 15","Bischof-Ketteler-Straße 13"
tk_fr_2117,tk_fr_osm_n1788473924,28.4,0.52,"Abraham Kiosk","A1 Kaffee & Kiosk","Karlsruher Straße 18",""
tk_fr_0437,tk_fr_osm_n10166949658,3.0,0.51,"Main-Lotto Kiosk","Mittwochs Kiosk","Fahrgasse 9",""
tk_fr_2118,tk_fr_osm_n1801694550,8.5,0.50,"Skyline Smoke Kiosk","Kiosk 111","Mainzer Landstraße 111",""
tk_fr_2049,tk_fr_osm_n12795916031,13.0,0.50,"Mo’s Späti","Kiosk Späti 929","Münchener Straße 16",""
tk_fr_0300,tk_fr_osm_n2361453834,14.9,0.50,"Kiosk Hausen","Drachenkiosk","Große Nelkenstraße 38-42","Große Nelkenstraße 29"
tk_fr_0429,tk_fr_osm_n5065030521,25.1,0.50,"Lotto auf der Zeil","Lotto Totto","An der Staufenmauer 11",""
tk_fr_0006,tk_fr_osm_n8450193226,13.4,0.48,"Onur Kiosk","Babba Café & Kiosk","Mainzer Landstraße 337",""
tk_fr_0433,tk_fr_osm_n6517744083,4.2,0.47,"Post am Turm Kiosk","Internet Kiosk","Oeder Weg 7",""
tk_fr_2111,tk_fr_osm_n2833747454,7.7,0.47,"Kiosk Sandweg","Mt.8848 Kiosk","Sandweg 37",""
tk_fr_0359,tk_fr_osm_n5983933402,10.7,0.45,"Kiosk Mizanur","Einkaufs-Kiosk","Waldstraße 44-46","Waldstraße 44"
tk_fr_1963,tk_fr_osm_n10654402215,11.1,0.45,"Neighborhood Kiosk","Kiosk 933","Bruchfeldstraße 40","Bruchfeldstraße 38"
tk_fr_1908,tk_fr_osm_n9933780067,14.1,0.45,"Tabak Moerser Presse","Tabak, Lotto, Hermes","Asterweg 11","Walltorstraße 15"
tk_fr_0607,tk_fr_osm_n6284198767,9.3,0.44,"Piccadilly Trink-Keller","Trinkhalle","Sandweg 11",""
tk_fr_1522,tk_fr_osm_n7817558542,2.7,0.44,"Kiosk Internet Cafe","Kiosk 069","K816 298",""
tk_fr_0248,tk_fr_osm_n4692674231,7.9,0.42,"Kiosk Gutleutstraße","Kiosk Westhafen","Gutleutstraße 156",""
tk_fr_0297,tk_fr_osm_n8356971355,12.3,0.42,"Kiosk & Internetcafe Alt Praunheim ","Kiosk Sports Cafe","Heerstraße 2",""
tk_fr_0326,tk_fr_osm_n7021221113,13.8,0.41,"Kiosk Ursula May","Einkaufs Kiosk","Bieberer Straße 81",""
tk_fr_0136,tk_fr_osm_n11053668873,1.8,0.40,"Kiosk Koblenzer Straße","zaki kiosk","Koblenzer Straße 14",""
tk_fr_0305,tk_fr_osm_w287199463,9.3,0.40,"Kiosk an der Neckarstraße","SVJ Kiosk Asia Markt","Neckarstraße 3",""
tk_fr_1562,tk_fr_osm_n310659272,9.6,0.40,"Kiosk Emmerich ","Kiosk-Lotto Point","Waldschulstraße 118",""
tk_fr_0345,tk_fr_osm_w1390715873,24.5,0.40,"Kiosk Roland Krupkat","Einkaufskiosk","Frankfurter Straße 36","Aliceplatz"
tk_fr_1579,tk_fr_osm_n13357274037,9.5,0.39,"Kiosk Lenaustraße","Smart Kiosk Nordend","Lenaustraße 38",""
tk_fr_0367,tk_fr_osm_n4382539131,15.6,0.39,"Kiosk und Hami's Bistro","Einkaufs-Kiosk","Waldstraße 107","Waldstraße 109"
tk_fr_0137,tk_fr_osm_n1938473854,3.2,0.39,"Kiosk Hufnagelstraße","Kiosk Saleh","Hufnagelstraße 3",""
tk_fr_0409,tk_fr_osm_n12873216350,10.3,0.37,"Kiosk im Markthäuschen","Einkaufskiosk","Bieberer Straße 9","Bieberer Straße 9b"
tk_fr_0410,tk_fr_osm_n288445913,17.3,0.35,"Verkaufskiosk Ohnacker","Kiosk zum Bersch","Aschaffenburger Straße 75","Aschaffenburger Straße 73"
tk_fr_0249,tk_fr_osm_n1878907016,4.0,0.34,"Kiosk Gutleutstraße","Einkaufskiosk","Gutleutstraße 135",""
