region,feature_id,feature_name,osm_ref,osm_name,score,distance_m,name_sim
"freiburg","tk_fr_1802","Kiosk Bischofslinde","node/4099487633","Kiosk Fischer","0.58","3.2","0.33"
"freiburg","tk_fr_1843","Kiosk Kannenfeldpark","node/697447484","Kiosk Caffee Park","0.58","3.4","0.35"
"nuernberg","tk_fr_1206","Kiosk und Tabakshop","node/2051401987","Tee- und Schokoladenhaus Hornung","0.52","2.2","0.19"
"berlin","tk_fr_1034","Presse Shop ","node/2301610480","Burgerstraße","0.55","1.7","0.24"
"berlin","tk_fr_1426","Quick Late-Night store","node/3907003400","Quick","0.52","8.9","0.42"
"hamburg","tk_fr_0744","Flic Flac","node/6476770734","Cafe Flic Flac","0.56","17.0","0.76"
"frankfurt","tk_fr_0095","Trinkhalle Trink + Babbelstubb","node/12762623283","Café & Bistro 38","0.50","3.5","0.21"
"frankfurt","tk_fr_0097","Kiosk am Frankensteiner Platz","node/787314216","Einkaufs-Platin Kiosk","0.56","5.5","0.39"
"frankfurt","tk_fr_0115","Kiosk Center Frankfurt","node/8104125575","Kiosk Center Digibet","0.60","4.7","0.43"
"frankfurt","tk_fr_0122","Kiosk Ackermannstraße ","node/11230852265","Acker's Café & Kiosk","0.56","3.5","0.31"
"frankfurt","tk_fr_0163","Kiosk Nordend-Shop Eckenheimer Landstraße Nordend","node/4042660849","Nordend-Shop","0.52","4.3","0.27"
"frankfurt","tk_fr_0170","Kiosk Komp Rhönstraße Bornheim","node/11698396329","Schreibwaren Tavakoli","0.50","1.1","0.13"
"frankfurt","tk_fr_0346","Einkaufskiosk Ishag Muhammad","node/7252664930","Einkaufs-Kiosk","0.62","3.3","0.41"
"frankfurt","tk_fr_0357","Kiosk Einkaufskiosk Rödernstrasse","node/9083769805","Einkaufskiosk","0.51","15.5","0.62"
"frankfurt","tk_fr_0421","Khan Kiosk Adalbertstraße","node/6448186130","Khan Kiosk","0.53","3.9","0.27"
"frankfurt","tk_fr_0772","Kiosk Blank","node/12873176991","Getränke Blank","0.61","4.7","0.44"
"frankfurt","tk_fr_1439","Gaststätte zum Treffpunkt","node/12227917602","Anatolien Kiosk - Der Treffpunkt","0.60","4.5","0.42"
"frankfurt","tk_fr_1584","Melibocus 33","node/1669207380","Kiosk Meli","0.61","4.4","0.43"
"frankfurt","tk_fr_1683","7 Day Shop 2 Go","node/5894189897","7 Days Lebensmittel","0.53","4.6","0.30"
"frankfurt","tk_fr_1910","RimeD - mehr als ein Kiosk","node/11303099769","RimeD","0.51","8.4","0.38"
"aachen","tk_fr_0603","Pont Kiosk Stehcafe","node/9716271700","Pont Kiosk","0.56","6.0","0.40"
"duesseldorf","tk_fr_1321","Tabac store ","node/481038768","Tabak Börse","0.53","7.5","0.40"
"duesseldorf","tk_fr_1991","Fortuna Büdchen","node/1828464300","Düsseldorfer Fan-Buud","0.56","0.7","0.22"
"duesseldorf","tk_fr_2039","Sally's kiosk kaster","node/11053694335","Stefan's Büdchen","0.54","3.7","0.28"
"koeln","tk_fr_0873","ATE Kiosk","node/243914656","Teheran Kiosk","0.52","3.9","0.25"
"koeln","tk_fr_0913","Kiosk Bistro Light","node/11060641902","Saif Kiosk - Cafe & Bistro","0.59","3.9","0.38"
"ruhr","tk_fr_0836","Pickup Snack u Service","node/1704999836","Pick-Up Kiosk","0.59","5.8","0.44"
"ruhr","tk_fr_0846","Bredeneyer Kiosk ","way/106893186","Bredki","0.55","7.6","0.43"
"ruhr","tk_fr_1086","Kaya Kiosk","node/13635110776","Oskar Kiosk","0.52","4.9","0.29"
"ruhr","tk_fr_2010","24 h Kiosk ","way/126214186","Kiosk 24h","0.54","7.5","0.40"
"dresden","tk_fr_1627","Snuck-Snack Spät Shop","node/675129157","Spät Stop","0.60","4.0","0.40"
"leipzig","tk_fr_0710","La Kabylie","node/486625835","Karli Eck","0.54","2.3","0.24"
"kiel","tk_fr_0764","Ostufer Kiosk ","node/6190537532","Wellingdorfer Kiosk","0.55","1.3","0.22"
